"description","units","source_key","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01"
"Montana : commercial","number of customers","ELEC.CUSTOMERS.MT-COM.M","103886","103842","104103","104162","104053","104118","104369","104374","104618","104652","104644","105062","105256","105269","105603","105764","105716","105821","105858","106009","106400","106369","106452","106703","106493","106523","106775","106791","106880","106980","107128","107350","107470","107651","107758","107976","108177","108263","108416","108430","108486","108629","108787","108845","108904","109039","109116","109241","108587","108731","108813","108929","109436","109385","109724","109648","109914","110085","109998","110266","110474","110427","110563","110777","110565","110708","111005","111069","111308","111438","111472","111947","112030","112110","112378","112528","112462","112692","112849","112955","113131","113147","113283","113722","113975","114032","114234","114295","114294","114494","114746","114853","114985","114999","115177","115631","116002","116018","116203","116175","115873","116034","116188","116319","116443","116603","116712","117289","117886","117856","117995"
"Montana : industrial","number of customers","ELEC.CUSTOMERS.MT-IND.M","8022","7992","8057","8125","9922","11346","11750","11760","11485","10784","8983","8273","8276","8293","8389","8463","9895","11332","11735","11882","11553","10676","8835","8432","8284","8241","8334","8325","9840","11628","11942","12153","11782","10882","8689","8599","8519","8092","8131","8515","9860","11251","11749","12187","11940","11082","8794","8835","9531","9304","9411","10019","11297","12795","13454","13650","13422","12266","10068","10196","9468","9397","9469","10112","11690","13274","13514","13680","13529","12479","10155","10201","9596","9591","9678","10298","11935","13567","13958","14078","13693","12600","10623","10414","9891","9837","9904","10541","12325","13635","14009","14256","14000","12875","10926","10783","10107","10071","10130","10503","12117","13399","13741","14120","13889","12970","11346","10939","10281","10203","10207"
"Montana : transportation","number of customers","ELEC.CUSTOMERS.MT-TRA.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Montana : other","number of customers","ELEC.CUSTOMERS.MT-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Nevada","number of customers","ELEC.CUSTOMERS.NV-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Nevada : all sectors","number of customers","ELEC.CUSTOMERS.NV-ALL.M","1282030","1282480","1285560","1286220","1289230","1291350","1294560","1293730","1295920","1292170","1294490","1296960","1302620","1301230","1302550","1304960","1304870","1310900","1309540","1315700","1313760","1309600","1313180","1318060","1419670","1420950","1423910","1423010","1429480","1431730","1432220","1434260","1435500","1432300","1432560","1443260","1351410","1349370","1350780","1353740","1357050","1364940","1260160","1365840","1366060","1365980","1368400","1371310","1366440","1368370","1368670","1371360","1374500","1374150","1377150","1380320","1382050","1376820","1382230","1388610","1390240","1388330","1392840","1392260","1396950","1400020","1401890","1403680","1404610","1406300","1409540","1408850","1414060","1412470","1417040","1420080","1419290","1424620","1427820","1427420","1430750","1429300","1432840","1436870","1438300","1435620","1442240","1442590","1444040","1450040","1449570","1451380","1450310","1452300","1456660","1454500","1456220","1453550","1459110","1456360","1460050","1462920","1467530","1465730","1468660","1469780","1470640","1473830","1477450","1476490","1480200"
"Nevada : residential","number of customers","ELEC.CUSTOMERS.NV-RES.M","1115940","1119170","1121920","1122450","1125320","1127490","1130640","1129480","1130380","1128240","1130400","1133200","1138730","1136570","1138060","1139880","1140010","1145590","1143460","1149590","1147640","1144320","1147600","1152560","1254350","1254510","1257850","1256550","1262380","1264570","1265050","1267030","1267980","1265360","1265660","1275900","1183780","1181750","1183260","1185780","1188420","1195570","1091590","1197500","1197060","1197340","1199700","1202160","1196450","1197990","1197850","1201120","1203830","1203720","1206700","1208320","1210350","1205900","1210720","1217000","1217920","1215980","1220220","1219790","1223200","1226950","1228990","1230160","1231270","1233020","1236010","1235270","1239980","1238610","1242850","1245180","1244500","1249800","1252640","1251740","1255190","1253990","1257400","1260810","1261910","1259650","1265490","1265750","1267600","1272120","1272250","1273870","1272930","1274800","1278580","1276890","1278720","1276040","1281450","1278290","1281520","1284490","1288850","1287050","1289750","1290560","1291630","1294130","1297040","1297630","1300050"
"Nevada : commercial","number of customers","ELEC.CUSTOMERS.NV-COM.M","162671","159877","160065","159995","160111","160012","160034","160403","161663","160100","160589","160361","160505","161134","161033","161234","161096","161507","162160","162256","162218","161751","162119","162074","162089","163179","162738","162917","163481","163513","163554","163614","163881","163580","163618","164098","164379","164323","164142","164422","165062","165783","164973","164733","165407","165283","165412","165874","166874","167300","167636","166911","167268","167023","167021","168564","168284","167746","168377","168516","169157","169172","169253","169073","170299","169612","169444","170033","169877","170099","170419","170472","170981","170773","170896","171536","171409","171420","171738","172230","172082","172066","172222","172864","173208","172740","173377","173352","172942","174407","173792","173973","173842","174235","174824","174379","172908","172914","173036","173205","173659","173538","173789","173801","174019","174561","174405","175129","175834","174291","175404"
"Nevada : industrial","number of customers","ELEC.CUSTOMERS.NV-IND.M","3412","3431","3573","3777","3800","3852","3879","3848","3883","3829","3495","3393","3380","3525","3456","3840","3759","3797","3925","3857","3896","3531","3461","3423","3228","3259","3321","3548","3617","3638","3618","3617","3634","3358","3282","3258","3245","3294","3382","3539","3570","3586","3602","3601","3592","3355","3288","3282","3109","3079","3186","3323","3396","3408","3433","3440","3415","3169","3131","3092","3163","3176","3359","3401","3443","3461","3458","3489","3455","3180","3107","3102","3089","3085","3286","3369","3386","3402","3444","3445","3470","3247","3219","3196","3185","3238","3380","3486","3496","3512","3525","3528","3537","3263","3248","3224","4599","4591","4619","4865","4879","4885","4897","4875","4890","4661","4600","4575","4570","4566","4743"
"Nevada : transportation","number of customers","ELEC.CUSTOMERS.NV-TRA.M","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nevada : other","number of customers","ELEC.CUSTOMERS.NV-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"New Mexico","number of customers","ELEC.CUSTOMERS.NM-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"New Mexico : all sectors","number of customers","ELEC.CUSTOMERS.NM-ALL.M","1019060","1019390","1020740","1020870","1020890","1022350","1022380","1023220","1023830","1025120","1024750","1026460","1027800","1025240","1026910","1026390","1026720","1027680","1027680","1028470","1029380","1029320","1029610","1030410","1031360","1030900","1031990","1031310","1030570","1032660","1032950","1038020","1034180","1035860","1035950","1037290","1039280","1039860","1040810","1042230","1042030","1042800","1041170","1044830","1043070","1045630","1047300","1047820","1044800","1046990","1047500","1047870","1048490","1048630","1049180","1050800","1050640","1052910","1052240","1053960","1057060","1057450","1058600","1058290","1058590","1058980","1060720","1060970","1061780","1065010","1064890","1066970","1065190","1065660","1067400","1068600","1069130","1069940","1071720","1071760","1072080","1072660","1072540","1074250","1072560","1074060","1075660","1075930","1076140","1078010","1076930","1077670","1079590","1080460","1080960","1082340","1061830","1064920","1064210","1063120","1063990","1064100","1066560","1068060","1067500","1068970","1070160","1070740","1069050","1073300","1073100"
"New Mexico : residential","number of customers","ELEC.CUSTOMERS.NM-RES.M","868301","868665","869780","869663","869617","870743","870679","871631","872098","873471","873083","874798","877585","874995","875960","875591","875814","876289","876551","877264","877518","877902","878301","879273","878730","878153","879357","878639","878264","879836","879983","885076","881277","883107","883327","884656","886686","887090","887890","888982","888761","889367","887930","891332","889880","892126","893632","894380","891063","893072","893466","893531","894036","894038","894904","896559","895893","897954","897415","899109","901835","901915","903145","903386","904158","904440","906077","906378","907030","910334","909680","912247","909920","911018","912517","913332","913674","914247","916001","915856","916141","916743","916391","918117","916767","918099","919426","919485","919663","921231","920459","921079","922759","923657","924597","926089","906634","908586","908695","908241","908997","908485","910703","911928","911720","912967","914104","914667","913119","916281","916314"
"New Mexico : commercial","number of customers","ELEC.CUSTOMERS.NM-COM.M","141652","141604","141670","141828","141850","142201","142279","142154","142284","142223","142290","142324","140988","141007","141658","141426","141545","142018","141734","141802","142458","142074","142023","141935","143401","143410","143238","143173","142785","143287","143509","143502","143472","143403","143284","143429","143313","143470","143577","143841","143863","144015","143841","144089","143792","144133","144372","144175","144475","144648","144727","144950","145007","145105","144692","144648","145163","145400","145317","145388","145694","145964","145803","145387","144925","145246","145274","145213","145372","145353","145855","145388","146119","145487","145700","145981","146160","146357","146410","146583","146611","146610","146867","146842","146583","146696","146958","147147","147198","147487","147168","147273","147506","147495","147120","147035","145816","146953","146098","145420","145525","146162","145992","146669","146314","146563","146638","146662","146501","147582","147613"
"New Mexico : industrial","number of customers","ELEC.CUSTOMERS.NM-IND.M","9103","9118","9291","9381","9425","9407","9417","9434","9448","9427","9373","9343","9223","9234","9288","9377","9364","9374","9396","9406","9400","9342","9284","9198","9228","9339","9399","9496","9520","9532","9454","9441","9434","9352","9339","9205","9279","9303","9347","9411","9405","9422","9400","9413","9402","9369","9297","9262","9267","9269","9307","9391","9444","9491","9583","9594","9588","9560","9513","9468","9535","9571","9648","9521","9509","9295","9367","9382","9376","9323","9357","9339","9150","9152","9186","9288","9299","9340","9313","9319","9323","9310","9279","9288","9209","9263","9273","9294","9282","9296","9301","9318","9327","9305","9238","9215","9377","9378","9413","9462","9465","9453","9864","9462","9463","9436","9420","9415","9428","9439","9169"
"New Mexico : transportation","number of customers","ELEC.CUSTOMERS.NM-TRA.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"New Mexico : other","number of customers","ELEC.CUSTOMERS.NM-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Utah","number of customers","ELEC.CUSTOMERS.UT-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Utah : all sectors","number of customers","ELEC.CUSTOMERS.UT-ALL.M","1138310","1139580","1147940","1149070","1151520","1152190","1154030","1157160","1158030","1159220","1161610","1163970","1168140","1168970","1170240","1171400","1173440","1174320","1175520","1178370","1179580","1181420","1184330","1185470","1192100","1192390","1194270","1194860","1198140","1198650","1199240","1202350","1200620","1206040","1208800","1212440","1220230","1222250","1224070","1225670","1228570","1229350","1230930","1233690","1234980","1237750","1240490","1242510","1247610","1249540","1251790","1253240","1256250","1257080","1257970","1261460","1263230","1265730","1268810","1270140","1279240","1280590","1282820","1284400","1282460","1288400","1289890","1288480","1292880","1297780","1299560","1304460","1311680","1313580","1317730","1323130","1323050","1325560","1327320","1329650","1330480","1334810","1337820","1340740","1349150","1351390","1353470","1350340","1357100","1358890","1360560","1363640","1364880","1368070","1371440","1373620","1337130","1340220","1342260","1344530","1346920","1346500","1350570","1353920","1355080","1358170","1360880","1364540","1366600","1369420","1371730"
"Utah : residential","number of customers","ELEC.CUSTOMERS.UT-RES.M","1009610","1010460","1018070","1018760","1020830","1021180","1022630","1025670","1026230","1027410","1029530","1031690","1035480","1036200","1037280","1038060","1039750","1040340","1040990","1043600","1044630","1046320","1049060","1050210","1056070","1056260","1058080","1058720","1061800","1062120","1062450","1065360","1063410","1068810","1071490","1074890","1081430","1083320","1085110","1086350","1089050","1089550","1090940","1093640","1094840","1097410","1100160","1102130","1105870","1107810","1109970","1111200","1114010","1114680","1115540","1118820","1120460","1122700","1125630","1127060","1133740","1135420","1137210","1138690","1136640","1142290","1143760","1142150","1146510","1151220","1152740","1157250","1163520","1165610","1169430","1174250","1173930","1176140","1177650","1179910","1180560","1184860","1187500","1190000","1198060","1199950","1201620","1198210","1204650","1206050","1207580","1210720","1211880","1215460","1218960","1221380","1188500","1191670","1193640","1195690","1197760","1197070","1200810","1203800","1204950","1207840","1210410","1213820","1216270","1218330","1220120"
"Utah : commercial","number of customers","ELEC.CUSTOMERS.UT-COM.M","120022","120431","120171","120569","120922","121221","121599","121704","122003","122041","122415","122622","123164","123284","123433","123783","124090","124330","124875","125127","125314","125534","125741","125772","126532","126638","126674","126570","126740","126875","127114","127304","127532","127611","127739","127982","129242","129358","129358","129688","129860","130084","130242","130293","130374","130649","130691","130751","131914","131915","132004","132162","132291","132439","131533","131726","131961","132272","132369","132402","134570","134247","134634","134727","134799","135045","135064","135191","135298","135577","135895","136279","137998","137803","138103","138668","138884","139193","139454","139535","139733","139836","140206","140623","140774","141133","141482","141760","142065","142392","142539","142468","142555","142239","142148","141933","137740","137663","137743","137976","138284","138491","138814","139182","139206","139467","139668","139930","139447","140188","140643"
"Utah : industrial","number of customers","ELEC.CUSTOMERS.UT-IND.M","8679","8695","9696","9738","9759","9793","9803","9791","9793","9769","9668","9663","9490","9489","9529","9561","9592","9646","9652","9650","9634","9568","9531","9487","9493","9489","9511","9566","9602","9656","9674","9681","9678","9615","9575","9567","9558","9575","9596","9633","9660","9717","9747","9761","9765","9691","9639","9627","9829","9816","9821","9877","9948","9966","10896","10917","10806","10759","10805","10682","10923","10923","10977","10987","11020","11063","11070","11135","11076","10987","10927","10924","10164","10170","10198","10205","10234","10224","10216","10201","10190","10116","10115","10113","10312","10311","10373","10361","10385","10442","10445","10448","10450","10376","10328","10315","10883","10881","10874","10858","10873","10933","10942","10932","10924","10862","10801","10797","10881","10897","10960"
