description,units,source key,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01
Nevada : all sectors,number of customers,ELEC.CUSTOMERS.NV-ALL.M,1282027,1282481,1285562,1286220,1289227,1291353,1294558,1293730,1295922,1292171,1294488,1296957,1302615,1301233,1302552,1304956,1304866,1310896,1309545,1315702,1313756,1309603,1313181,1318058,1419671,1420953,1423906,1423014,1429477,1431726,1432220,1434263,1435501,1432304,1432559,1443256,1351406,1349372,1350783,1353743,1357050,1364937,1260164,1365837,1366065,1365978,1368399,1371314,1366437,1368368,1368671,1371355,1374495,1374153,1377151,1380323,1382049,1376815,1382231,1388609,1390241,1388333,1392836,1392261,1396948,1400024,1401893,1403682,1404606,1406305,1409536,1408847,1414055,1412469,1417036,1420085,1419292,1424619,1427820,1427417,1430747,1429302,1432838,1436872,1438300,1435625,1442245,1442593,1444044,1450037,1449570,1451376,1450307,1452299,1456658,1454496,1456225,1453551,1459106,1456357,1460054,1462918,1467533,1465729,1468663,1469781,1470640,1473831,1477449,1476489,1480197,1482708,1485695
Nevada : residential,number of customers,ELEC.CUSTOMERS.NV-RES.M,1115943,1119172,1121923,1122447,1125315,1127488,1130644,1129478,1130375,1128241,1130403,1133202,1138729,1136573,1138062,1139881,1140010,1145591,1143459,1149588,1147641,1144320,1147600,1152560,1254353,1254514,1257846,1256548,1262378,1264574,1265047,1267031,1267985,1265365,1265658,1275899,1183781,1181754,1183258,1185781,1188417,1195567,1091588,1197502,1197065,1197339,1199698,1202157,1196453,1197988,1197848,1201120,1203830,1203721,1206696,1208318,1210349,1205899,1210722,1217000,1217920,1215984,1220223,1219786,1223205,1226950,1228990,1230159,1231273,1233025,1236009,1235272,1239984,1238610,1242853,1245179,1244496,1249796,1252637,1251741,1255194,1253988,1257396,1260811,1261906,1259646,1265487,1265754,1267605,1272117,1272252,1273874,1272927,1274800,1278585,1276892,1278717,1276045,1281450,1278286,1281515,1284494,1288846,1287052,1289753,1290558,1291634,1294126,1297044,1297631,1300049,1302298,1304808
Nevada : commercial,number of customers,ELEC.CUSTOMERS.NV-COM.M,162671,159877,160065,159995,160111,160012,160034,160403,161663,160100,160589,160361,160505,161134,161033,161234,161096,161507,162160,162256,162218,161751,162119,162074,162089,163179,162738,162917,163481,163513,163554,163614,163881,163580,163618,164098,164379,164323,164142,164422,165062,165783,164973,164733,165407,165283,165412,165874,166874,167300,167636,166911,167268,167023,167021,168564,168284,167746,168377,168516,169157,169172,169253,169073,170299,169612,169444,170033,169877,170099,170419,170472,170981,170773,170896,171536,171409,171420,171738,172230,172082,172066,172222,172864,173208,172740,173377,173352,172942,174407,173792,173973,173842,174235,174824,174379,172908,172914,173036,173205,173659,173538,173789,173801,174019,174561,174405,175129,175834,174291,175404,175622,176002
Nevada : industrial,number of customers,ELEC.CUSTOMERS.NV-IND.M,3412,3431,3573,3777,3800,3852,3879,3848,3883,3829,3495,3393,3380,3525,3456,3840,3759,3797,3925,3857,3896,3531,3461,3423,3228,3259,3321,3548,3617,3638,3618,3617,3634,3358,3282,3258,3245,3294,3382,3539,3570,3586,3602,3601,3592,3355,3288,3282,3109,3079,3186,3323,3396,3408,3433,3440,3415,3169,3131,3092,3163,3176,3359,3401,3443,3461,3458,3489,3455,3180,3107,3102,3089,3085,3286,3369,3386,3402,3444,3445,3470,3247,3219,3196,3185,3238,3380,3486,3496,3512,3525,3528,3537,3263,3248,3224,4599,4591,4619,4865,4879,4885,4897,4875,4890,4661,4600,4575,4570,4566,4743,4787,4884
Nevada : transportation,number of customers,ELEC.CUSTOMERS.NV-TRA.M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nevada : other,number of customers,ELEC.CUSTOMERS.NV-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Mexico,number of customers,ELEC.CUSTOMERS.NM-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico : all sectors,number of customers,ELEC.CUSTOMERS.NM-ALL.M,1019056,1019387,1020741,1020872,1020892,1022351,1022375,1023219,1023830,1025121,1024746,1026465,1027796,1025236,1026906,1026394,1026723,1027681,1027681,1028472,1029376,1029318,1029608,1030406,1031359,1030902,1031994,1031308,1030569,1032655,1032946,1038019,1034183,1035862,1035950,1037290,1039278,1039863,1040814,1042234,1042029,1042804,1041171,1044834,1043074,1045628,1047301,1047817,1044805,1046989,1047500,1047872,1048487,1048634,1049179,1050801,1050644,1052914,1052245,1053965,1057064,1057450,1058596,1058294,1058592,1058981,1060718,1060973,1061778,1065010,1064892,1066974,1065189,1065657,1067403,1068601,1069133,1069944,1071724,1071758,1072075,1072663,1072537,1074247,1072559,1074058,1075657,1075926,1076143,1078014,1076928,1077670,1079592,1080457,1080955,1082339,1061827,1064917,1064206,1063123,1063987,1064100,1066559,1068059,1067497,1068966,1070162,1070744,1069048,1073302,1073096,1074769,1076319
New Mexico : residential,number of customers,ELEC.CUSTOMERS.NM-RES.M,868301,868665,869780,869663,869617,870743,870679,871631,872098,873471,873083,874798,877585,874995,875960,875591,875814,876289,876551,877264,877518,877902,878301,879273,878730,878153,879357,878639,878264,879836,879983,885076,881277,883107,883327,884656,886686,887090,887890,888982,888761,889367,887930,891332,889880,892126,893632,894380,891063,893072,893466,893531,894036,894038,894904,896559,895893,897954,897415,899109,901835,901915,903145,903386,904158,904440,906077,906378,907030,910334,909680,912247,909920,911018,912517,913332,913674,914247,916001,915856,916141,916743,916391,918117,916767,918099,919426,919485,919663,921231,920459,921079,922759,923657,924597,926089,906634,908586,908695,908241,908997,908485,910703,911928,911720,912967,914104,914667,913119,916281,916314,917359,919188
New Mexico : commercial,number of customers,ELEC.CUSTOMERS.NM-COM.M,141652,141604,141670,141828,141850,142201,142279,142154,142284,142223,142290,142324,140988,141007,141658,141426,141545,142018,141734,141802,142458,142074,142023,141935,143401,143410,143238,143173,142785,143287,143509,143502,143472,143403,143284,143429,143313,143470,143577,143841,143863,144015,143841,144089,143792,144133,144372,144175,144475,144648,144727,144950,145007,145105,144692,144648,145163,145400,145317,145388,145694,145964,145803,145387,144925,145246,145274,145213,145372,145353,145855,145388,146119,145487,145700,145981,146160,146357,146410,146583,146611,146610,146867,146842,146583,146696,146958,147147,147198,147487,147168,147273,147506,147495,147120,147035,145816,146953,146098,145420,145525,146162,145992,146669,146314,146563,146638,146662,146501,147582,147613,147869,147584
New Mexico : industrial,number of customers,ELEC.CUSTOMERS.NM-IND.M,9103,9118,9291,9381,9425,9407,9417,9434,9448,9427,9373,9343,9223,9234,9288,9377,9364,9374,9396,9406,9400,9342,9284,9198,9228,9339,9399,9496,9520,9532,9454,9441,9434,9352,9339,9205,9279,9303,9347,9411,9405,9422,9400,9413,9402,9369,9297,9262,9267,9269,9307,9391,9444,9491,9583,9594,9588,9560,9513,9468,9535,9571,9648,9521,9509,9295,9367,9382,9376,9323,9357,9339,9150,9152,9186,9288,9299,9340,9313,9319,9323,9310,9279,9288,9209,9263,9273,9294,9282,9296,9301,9318,9327,9305,9238,9215,9377,9378,9413,9462,9465,9453,9864,9462,9463,9436,9420,9415,9428,9439,9169,9541,9547
New Mexico : transportation,number of customers,ELEC.CUSTOMERS.NM-TRA.M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico : other,number of customers,ELEC.CUSTOMERS.NM-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Utah,number of customers,ELEC.CUSTOMERS.UT-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah : all sectors,number of customers,ELEC.CUSTOMERS.UT-ALL.M,1138314,1139583,1147942,1149071,1151516,1152190,1154034,1157165,1158027,1159222,1161613,1163974,1168140,1168969,1170238,1171403,1173436,1174315,1175520,1178373,1179580,1181424,1184330,1185467,1192098,1192387,1194268,1194861,1198142,1198647,1199238,1202350,1200619,1206038,1208805,1212444,1220227,1222253,1224066,1225669,1228571,1229350,1230932,1233694,1234975,1237748,1240489,1242509,1247613,1249538,1251794,1253242,1256249,1257085,1257970,1261460,1263227,1265729,1268809,1270143,1279236,1280588,1282819,1284405,1282458,1288396,1289890,1288477,1292884,1297784,1299559,1304458,1311679,1313584,1317733,1323126,1323047,1325559,1327321,1329649,1330485,1334811,1337825,1340742,1349146,1351391,1353471,1350336,1357103,1358886,1360564,1363636,1364881,1368071,1371435,1373624,1337129,1340217,1342256,1344526,1346918,1346498,1350568,1353918,1355083,1358172,1360881,1364543,1366598,1369417,1371729,1374395,1378049
Utah : residential,number of customers,ELEC.CUSTOMERS.UT-RES.M,1009612,1010456,1018074,1018763,1020834,1021175,1022631,1025669,1026230,1027411,1029529,1031688,1035485,1036195,1037275,1038058,1039753,1040338,1040992,1043595,1044631,1046321,1049057,1050207,1056072,1056259,1058082,1058724,1061799,1062115,1062449,1065364,1063408,1068811,1071490,1074894,1081426,1083319,1085111,1086347,1089050,1089548,1090942,1093639,1094835,1097407,1100158,1102130,1105869,1107806,1109968,1111202,1114009,1114679,1115540,1118816,1120459,1122697,1125634,1127058,1133742,1135417,1137207,1138690,1136638,1142287,1143755,1142150,1146509,1151219,1152736,1157254,1163516,1165610,1169431,1174252,1173928,1176141,1177650,1179912,1180561,1184858,1187503,1190005,1198059,1199946,1201615,1198214,1204652,1206051,1207579,1210719,1211875,1215455,1218958,1221375,1188505,1191672,1193638,1195691,1197760,1197073,1200811,1203803,1204952,1207842,1210411,1213815,1216269,1218331,1220125,1222525,1225852
Utah : commercial,number of customers,ELEC.CUSTOMERS.UT-COM.M,120022,120431,120171,120569,120922,121221,121599,121704,122003,122041,122415,122622,123164,123284,123433,123783,124090,124330,124875,125127,125314,125534,125741,125772,126532,126638,126674,126570,126740,126875,127114,127304,127532,127611,127739,127982,129242,129358,129358,129688,129860,130084,130242,130293,130374,130649,130691,130751,131914,131915,132004,132162,132291,132439,131533,131726,131961,132272,132369,132402,134570,134247,134634,134727,134799,135045,135064,135191,135298,135577,135895,136279,137998,137803,138103,138668,138884,139193,139454,139535,139733,139836,140206,140623,140774,141133,141482,141760,142065,142392,142539,142468,142555,142239,142148,141933,137740,137663,137743,137976,138284,138491,138814,139182,139206,139467,139668,139930,139447,140188,140643,140869,141166
Utah : industrial,number of customers,ELEC.CUSTOMERS.UT-IND.M,8679,8695,9696,9738,9759,9793,9803,9791,9793,9769,9668,9663,9490,9489,9529,9561,9592,9646,9652,9650,9634,9568,9531,9487,9493,9489,9511,9566,9602,9656,9674,9681,9678,9615,9575,9567,9558,9575,9596,9633,9660,9717,9747,9761,9765,9691,9639,9627,9829,9816,9821,9877,9948,9966,10896,10917,10806,10759,10805,10682,10923,10923,10977,10987,11020,11063,11070,11135,11076,10987,10927,10924,10164,10170,10198,10205,10234,10224,10216,10201,10190,10116,10115,10113,10312,10311,10373,10361,10385,10442,10445,10448,10450,10376,10328,10315,10883,10881,10874,10858,10873,10933,10942,10932,10924,10862,10801,10797,10881,10897,10960,11000,11030
Utah : transportation,number of customers,ELEC.CUSTOMERS.UT-TRA.M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Utah : other,number of customers,ELEC.CUSTOMERS.UT-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming,number of customers,ELEC.CUSTOMERS.WY-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming : all sectors,number of customers,ELEC.CUSTOMERS.WY-ALL.M,335152,335638,335971,336187,336257,336268,336649,336645,337244,337326,336908,337418,336559,336598,337865,337339,337398,338056,337487,338225,338466,337989,338418,338451,338684,338581,339453,338945,339626,339097,339570,339704,338976,339697,339498,340560,340602,340296,340976,340975,341345,341854,342228,342485,341892,342213,342758,342584,343265,342768,343416,343671,344312,344344,344890,344756,344927,346294,345480,345849,344130,344128,343919,345030,344622,345232,346171,345798,346340,345900,345889,346695,346446,346483,347379,347473,347758,348311,348506,349031,349223,349080,349180,349953,349619,349719,350555,350255,351089,351445,351723,352260,352482,352135,352434,355411,354538,353922,354959,354248,354973,355436,355980,356357,356223,356545,356721,356952,357150,356716,357409,357932,358422
Wyoming : residential,number of customers,ELEC.CUSTOMERS.WY-RES.M,266945,267426,267892,267940,267860,268117,268362,268411,268743,268955,268760,269298,268771,268958,269837,269401,269401,269730,269377,269819,270039,269805,270150,270473,270097,270173,270773,270442,270910,269944,270626,270525,270053,270796,270708,271856,271534,271503,271958,271952,272048,272316,272524,272777,272548,273206,273450,273326,274088,273859,274286,274341,274727,274482,274936,274825,274923,276322,275726,276040,274890,274999,275115,275775,275413,275795,276555,276321,276726,276799,276658,277309,277335,277576,278147,278030,278141,278434,278528,278947,279157,279305,279487,280077,279957,280148,280797,280473,280879,281181,281252,281668,281934,282015,282269,284951,283901,283565,284246,283712,284069,284597,284931,285279,285239,285759,285809,286024,286293,286027,286516,286780,287127
Wyoming : commercial,number of customers,ELEC.CUSTOMERS.WY-COM.M,57762,57760,57585,57732,57848,57556,57686,57596,57832,57696,57643,57538,57171,57015,57367,57264,57359,57649,57446,57696,57736,57491,57731,57286,57731,57542,57776,57618,57765,58151,57971,58156,57917,58013,57956,57751,58134,58019,58230,58064,58319,58514,58675,58657,58333,58111,58465,58272,58068,57840,58022,57997,58220,58462,58530,58496,58586,58694,58554,58421,58148,58064,57211,57931,57944,58141,58284,58160,58075,57732,57937,57857,57709,57513,57809,57791,57925,58153,58246,58303,58276,58218,58154,58136,58112,58039,58191,58002,58401,58421,58635,58706,58694,58470,58556,58629,58902,58642,58981,58672,59008,58931,59129,59120,59056,58953,59139,58985,59022,58867,59074,59158,59299
Wyoming : industrial,number of customers,ELEC.CUSTOMERS.WY-IND.M,10445,10452,10494,10515,10549,10595,10601,10638,10669,10675,10505,10582,10617,10625,10661,10674,10638,10677,10664,10710,10691,10693,10537,10692,10856,10866,10904,10885,10951,11002,10973,11023,11006,10888,10834,10953,10934,10774,10788,10959,10978,11024,11029,11051,11011,10896,10843,10986,11109,11069,11108,11333,11365,11400,11424,11435,11418,11278,11200,11388,11092,11065,11593,11324,11265,11296,11332,11317,11539,11369,11294,11529,11402,11394,11423,11652,11692,11724,11732,11781,11790,11557,11539,11740,11550,11532,11567,11780,11809,11843,11836,11886,11854,11650,11609,11831,11735,11715,11732,11864,11896,11908,11920,11958,11928,11833,11773,11943,11835,11822,11819,11994,11996
Wyoming : transportation,number of customers,ELEC.CUSTOMERS.WY-TRA.M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming : other,number of customers,ELEC.CUSTOMERS.WY-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pacific Contiguous,number of customers,ELEC.CUSTOMERS.PCC-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Contiguous : all sectors,number of customers,ELEC.CUSTOMERS.PCC-ALL.M,20385086,19899069,20699964,20427180,20397664,20529367,21010063,20239792,20527311,20797504,19973755,21062804,20446078,20083591,21137290,20310997,20610950,20897079,20559540,20755110,20692647,20684249,20421484,20980558,20719242,20192667,21308007,20395555,20870530,21072261,20527861,21144065,20584643,21157535,20862191,21038446,20986392,20387599,21196125,20671942,21281791,21042952,21003967,21281011,20669280,21161812,20766234,21025302,21305545,19742105,21310484,21006882,21496927,21098381,21384002,21239430,20975275,21862527,20750260,21568155,21521750,20691212,21520983,21319393,21150592,21440147,21859256,21123657,21364348,21375715,20810338,21954258,21214993,20854035,21948952,21427331,21174798,21702093,21480274,21531924,21517928,21569055,21250100,22325618,21281754,20983765,22179091,21319762,21699547,21915683,21455349,21950606,21730959,21745865,21484844,22093841,21728155,21156994,22323679,21223763,22029196,22003452,21571365,22354748,21570215,21857678,21556549,21889511,22153018,21615795,21957169,21921610,22253796
Pacific Contiguous : residential,number of customers,ELEC.CUSTOMERS.PCC-RES.M,17916361,17499370,18192979,17952271,17952445,18016603,18459449,17788142,18037425,18275848,17557583,18512508,17999539,17643013,18583297,17855706,18118599,18374247,18094916,18222585,18184216,18177681,17951416,18445414,18218104,17759354,18735764,17960844,18332942,18535751,18052184,18582878,18092861,18605642,18347799,18518058,18422949,17922065,18632129,18171674,18705330,18488025,18460890,18702841,18187297,18584684,18258399,18482787,18732505,17273811,18773223,18473057,18908310,18583589,18794018,18684986,18457977,19239580,18262370,18981770,18936511,18210756,18936210,18760924,18631673,18853933,19239865,18598699,18808353,18820135,18325980,19333945,18691262,18383431,19333267,18840417,18618298,19070453,18884886,18927810,18915602,18963736,18669527,19627062,18706136,18449428,19498625,18740591,19083263,19274142,18871362,19304353,19114182,19126013,18899047,19436403,19106395,18604615,19630052,18668145,19370405,19353478,18979514,19672400,18981221,19235148,18973650,19269295,19494311,19026626,19329193,19291169,19589972
Pacific Contiguous : commercial,number of customers,ELEC.CUSTOMERS.PCC-COM.M,2270491,2209486,2303248,2273325,2245285,2303451,2337596,2250608,2284880,2312534,2224868,2342898,2251380,2245109,2344372,2258247,2289606,2314892,2264522,2320893,2303960,2302807,2275607,2331003,2303456,2244451,2365442,2244483,2332633,2331765,2280551,2351399,2293211,2345410,2316417,2321826,2359082,2277344,2361700,2305018,2369635,2350889,2339837,2370264,2287794,2369934,2312225,2342436,2370908,2279910,2341152,2338437,2382194,2317034,2382790,2350698,2319749,2414549,2297859,2383464,2382363,2291363,2382607,2356403,2320430,2380122,2408174,2325082,2353086,2355070,2293501,2411562,2325130,2276696,2405086,2384920,2358590,2426364,2397050,2400937,2399974,2404655,2380604,2486215,2381139,2343786,2472728,2381928,2413762,2436237,2385806,2439710,2414464,2416808,2390241,2450378,2420107,2358460,2483589,2361648,2451580,2444200,2395786,2472985,2392245,2422863,2390525,2420699,2456557,2396741,2430123,2430545,2460821
Pacific Contiguous : industrial,number of customers,ELEC.CUSTOMERS.PCC-IND.M,198214,190193,203716,201563,199912,209291,212996,201021,204985,209101,191283,207378,195138,195445,209597,197022,202722,207917,200079,211610,204448,203738,194438,204118,197659,188839,206778,190205,204932,204722,195103,209765,198548,206460,197952,198539,204341,188170,202276,195230,206806,204018,203220,207886,194169,207174,195590,200059,202113,188365,196090,195369,206404,197739,207175,203727,197530,208379,190011,202901,202856,189073,202146,202046,198469,206072,211198,199857,202890,200491,190838,208732,198582,193889,210580,201975,197891,205257,198319,203158,202333,200645,199950,212322,194460,190532,207719,197224,202503,205285,198162,206524,202294,203025,195537,207041,201634,193900,210019,193951,207192,205755,196046,209344,196730,199648,192355,199498,202131,192409,197834,199877,202984
